Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
222;5;4;2;1;2;6;2;6;7;5;7;7;7;7;4;5;4;4;7;7;5;2;1;5;6;4;6
223;3;3;5;1;5;5;4;7;7;5;4;5;5;5;7;5;4;4;4;5;4;4;4;4;4;4;4
224;7;7;2;1;6;5;1;6;7;4;4;6;6;5;4;6;3;4;6;7;7;5;4;6;7;7;7
225;6;7;6;5;6;6;6;7;7;7;6;7;7;7;6;7;3;4;6;6;6;5;3;6;6;6;6
226;6;3;3;5;6;6;2;7;6;6;6;6;6;7;5;4;5;4;3;7;6;2;1;1;5;6;3
227;6;5;3;3;5;5;4;5;6;5;4;6;7;6;5;6;3;3;6;7;6;3;3;5;6;6;6
228;6;3;7;7;7;7;5;3;7;4;2;2;2;6;3;6;6;2;6;7;7;2;2;2;4;2;2
229;6;6;5;3;3;3;3;7;7;7;5;7;7;7;6;5;3;2;5;7;7;2;2;2;5;6;7
230;2;5;2;5;7;5;6;1;2;1;7;7;7;7;3;4;4;3;2;4;5;4;4;6;6;7;4
231;4;4;7;7;7;7;7;7;7;7;7;5;5;7;1;1;1;1;1;7;4;1;1;2;4;4;4
232;6;6;5;2;6;6;4;6;6;4;6;7;7;7;5;5;5;5;5;6;5;4;5;6;6;6;6
233;4;5;5;2;6;6;5;6;6;4;5;5;3;5;6;7;4;4;5;6;7;2;5;1;5;5;5
234;6;6;6;2;2;2;2;5;6;2;2;5;5;5;6;7;2;4;2;7;7;2;2;1;4;4;6
235;6;6;7;6;7;7;7;6;6;6;5;6;6;5;4;3;3;3;3;7;7;3;3;5;6;4;5
236;6;4;2;2;4;5;4;6;6;5;6;6;6;7;7;6;3;2;3;4;2;2;2;2;2;3;4
237;7;7;7;6;7;7;6;7;7;5;5;7;7;6;6;6;4;4;5;6;5;5;5;3;5;5;5
238;4;3;2;2;5;5;3;6;7;4;5;5;5;7;6;7;4;3;2;7;7;2;3;6;5;3;3
239;7;7;2;2;6;2;2;1;7;1;1;6;7;7;7;7;5;7;7;7;5;1;1;2;7;7;7
240;5;6;5;3;5;5;3;5;5;3;6;5;5;5;7;6;3;5;5;6;7;2;3;6;7;4;5
241;6;5;4;2;5;6;2;7;7;4;4;6;4;6;7;7;2;6;7;7;5;2;4;6;6;6;6
242;5;5;5;3;2;5;3;6;3;4;6;4;5;5;7;6;5;5;3;5;5;2;2;5;5;2;2
243;6;3;2;1;2;2;2;6;7;5;3;5;6;6;6;7;4;4;4;5;5;2;2;7;7;6;6
244;6;6;4;4;4;6;4;6;7;7;6;5;6;7;7;4;3;5;4;6;7;5;7;4;4;4;5
245;7;5;5;2;3;4;4;5;6;7;6;6;6;6;7;7;4;4;5;5;5;1;3;4;6;6;6
246;1;5;6;5;7;5;4;5;6;5;5;6;5;6;7;7;2;7;6;4;4;4;1;2;2;3;7
247;2;2;3;2;2;6;2;6;7;5;5;6;6;6;5;7;5;6;6;7;3;5;3;4;5;2;2
248;7;7;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;1;4;4;3;7;7;6
249;3;5;6;6;6;6;6;4;6;5;1;6;6;7;7;7;3;2;6;6;3;1;1;6;6;2;6
250;7;7;5;4;5;6;5;7;7;6;6;7;6;6;7;7;7;7;7;7;7;6;4;5;6;6;6
251;5;5;6;5;5;7;5;7;7;7;7;6;7;7;7;4;4;5;7;5;6;5;3;1;5;6;7
252;5;6;6;2;3;5;4;7;6;6;5;5;6;7;7;6;4;4;4;6;6;4;4;4;4;4;4
253;5;4;5;4;4;4;4;5;5;4;4;4;4;4;6;2;2;2;1;5;4;2;2;3;3;3;3
254;6;5;7;6;7;7;7;7;7;7;7;7;7;7;7;6;4;5;4;7;4;4;4;7;5;3;4
255;6;5;5;4;5;5;1;5;3;5;4;5;5;7;7;6;1;2;1;7;7;3;1;6;6;3;5
256;5;5;5;3;4;4;4;6;6;5;5;6;6;6;7;7;4;6;6;6;5;4;3;4;4;4;5
257;7;7;4;4;6;6;5;5;7;6;5;6;6;6;7;7;4;4;6;6;5;4;4;3;4;5;4
258;6;6;3;3;5;5;3;5;5;4;5;5;5;5;6;6;4;4;4;5;5;3;4;2;5;4;5
259;6;5;3;5;5;6;3;6;6;5;4;6;5;5;4;2;3;3;2;6;7;6;5;7;6;6;6
260;7;7;2;7;7;5;5;6;7;6;6;6;6;6;6;7;1;7;7;7;1;1;1;5;6;6;6
261;6;5;3;2;5;5;4;5;5;5;5;6;6;6;3;5;4;4;4;6;6;3;4;5;6;6;6
262;5;4;4;4;6;4;4;6;6;4;5;5;5;6;4;6;4;4;6;7;6;3;3;4;5;5;4
263;7;6;5;4;5;7;5;7;5;5;7;7;7;7;2;4;3;4;4;7;7;3;1;4;4;6;5
264;5;5;3;2;6;3;2;5;5;2;2;5;5;7;2;7;3;5;4;7;7;2;1;2;4;3;3
265;7;5;7;6;6;6;2;6;5;6;6;6;6;7;2;4;2;1;2;7;6;2;2;7;7;4;5
266;6;5;6;4;5;5;5;6;6;4;4;7;7;7;4;1;4;2;2;7;7;4;3;4;5;5;5
267;5;5;6;6;5;7;4;7;7;6;6;5;6;6;2;4;4;4;5;6;5;4;4;4;6;6;6
268;7;7;5;5;7;7;5;7;7;6;7;6;7;7;5;5;7;7;7;4;2;5;5;2;5;7;7
269;4;5;3;3;3;3;3;6;5;5;5;6;6;6;4;5;4;4;4;7;7;4;4;5;5;5;4
270;6;6;5;4;7;7;5;7;6;6;7;6;6;7;5;7;6;6;6;6;4;4;1;1;7;4;7
271;1;1;1;1;2;5;4;4;5;4;4;6;6;6;4;4;4;4;4;6;6;4;4;4;4;4;4
272;5;5;5;5;6;6;4;5;5;5;4;6;7;7;4;4;2;4;4;7;7;3;4;5;5;5;6
273;6;5;5;6;6;7;5;7;7;5;5;6;5;7;5;5;4;5;3;7;7;4;4;6;7;7;7
274;5;5;3;3;4;5;4;6;6;5;5;5;6;6;1;3;2;2;1;5;5;4;4;4;5;5;5
275;5;3;3;3;3;3;3;6;6;3;5;4;5;6;4;6;3;3;5;7;6;4;4;2;3;3;5
276;6;6;6;5;4;6;4;5;5;6;5;6;6;6;4;6;3;4;5;6;4;5;4;5;6;6;6
277;4;7;6;6;7;7;1;6;6;6;6;6;7;7;1;6;3;4;7;7;7;1;5;1;5;4;1
278;5;5;5;4;3;5;3;6;6;6;6;6;5;4;4;6;3;3;5;6;5;3;3;2;6;6;7
279;6;6;2;2;6;6;2;6;6;6;6;7;6;6;2;5;1;2;6;6;5;1;1;3;5;4;6
280;6;4;2;2;5;6;3;5;6;4;5;5;4;6;3;5;2;2;6;6;5;4;4;3;5;4;5
281;6;5;3;4;5;4;1;6;7;6;6;6;7;7;4;5;4;4;7;7;7;5;5;5;6;5;7
282;6;1;7;4;3;4;4;6;7;6;6;7;7;7;3;2;2;3;2;7;3;1;1;1;1;1;1
283;7;7;7;5;7;7;7;7;7;6;6;6;7;6;5;4;4;5;4;7;6;4;4;5;5;5;5
284;6;6;4;4;6;6;4;7;7;6;6;6;6;7;6;6;4;4;4;6;7;7;7;2;2;5;2
285;6;6;3;3;4;4;4;4;6;4;5;4;5;6;4;4;4;4;5;6;6;1;1;5;5;7;7
286;6;6;5;3;4;5;4;7;7;5;6;6;6;6;4;3;3;3;3;7;6;4;4;1;4;4;4
287;5;6;3;1;1;4;1;6;6;5;4;6;6;6;1;4;1;1;5;7;7;3;1;4;5;1;5
288;7;6;5;3;5;5;3;6;7;4;5;6;6;7;4;5;3;4;6;5;5;4;4;7;7;6;7
289;6;7;7;7;5;7;3;7;7;7;5;4;5;5;4;6;4;4;6;7;5;2;2;5;4;4;4
290;7;7;2;3;5;6;2;7;7;6;6;6;6;7;4;2;2;2;2;7;6;2;2;3;6;4;6
291;7;5;3;2;4;5;5;5;5;5;6;7;7;7;5;2;2;2;2;7;7;2;2;2;2;4;6
292;7;7;5;3;6;7;4;6;6;5;4;6;6;6;5;6;4;4;7;7;7;4;3;4;6;6;6
293;4;6;7;3;4;7;5;5;6;7;6;7;7;5;4;3;3;3;7;7;6;5;4;6;4;4;6
294;5;5;4;4;6;6;4;6;6;4;5;6;6;6;4;4;4;4;4;7;7;3;3;2;6;4;6
295;7;7;6;6;5;7;4;6;6;6;5;6;7;7;4;4;5;4;4;7;6;4;4;5;5;5;5
296;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;5;6;4;2
297;5;5;1;1;6;6;1;7;7;1;7;3;7;7;7;7;7;1;6;7;7;1;6;1;7;7;7
298;6;5;4;4;6;6;6;7;7;6;5;6;6;7;3;5;4;3;5;7;5;1;4;2;2;2;2
299;5;5;4;4;5;5;5;6;7;4;5;6;6;7;2;4;4;4;6;5;3;5;6;7;5;4;5
300;5;6;5;3;5;6;6;5;6;6;5;7;5;6;3;4;4;3;4;7;5;4;3;6;5;4;4
301;4;5;2;2;5;2;2;5;5;2;2;4;4;6;5;6;3;2;2;7;7;2;2;2;3;3;3
302;6;6;6;5;6;6;5;6;6;6;5;6;6;6;4;7;4;4;4;5;5;3;2;3;7;5;6
303;6;5;7;6;6;6;5;6;6;6;6;6;6;7;6;7;6;5;6;5;5;4;4;5;5;6;6
304;5;5;4;4;5;5;4;6;6;5;6;6;6;5;4;4;2;2;2;7;7;4;4;5;4;4;5
305;6;7;5;5;5;6;6;7;7;7;7;7;7;7;4;7;7;4;7;7;7;5;6;6;6;7;7
306;7;5;3;4;5;5;2;6;6;5;6;5;6;7;6;6;6;2;3;7;6;2;3;1;7;6;6
307;5;5;5;4;5;5;2;6;7;5;6;6;6;5;4;3;2;2;3;5;5;3;5;4;5;6;5
308;7;6;5;1;3;4;4;5;6;6;7;7;7;7;1;3;2;2;3;5;5;2;1;3;5;6;5
309;4;4;4;4;4;5;4;7;7;5;3;5;6;7;2;2;3;3;3;7;6;3;2;2;5;2;5
310;4;4;4;4;5;5;4;6;7;5;5;6;6;6;2;4;3;5;5;7;7;4;2;5;6;4;5
311;3;3;6;7;6;7;5;7;6;4;6;6;6;5;4;7;4;4;4;6;5;1;1;2;3;3;3
312;5;7;4;4;5;4;5;6;6;5;5;5;6;6;3;4;4;4;4;7;7;6;5;4;5;5;5
313;6;5;3;3;4;4;3;5;6;4;5;5;5;6;1;1;1;1;1;7;7;5;5;4;4;4;4
314;5;6;3;5;5;7;3;3;3;5;1;3;6;5;6;4;1;1;3;7;7;2;2;6;6;4;2
315;7;6;2;2;5;5;1;7;7;5;5;6;6;6;4;6;4;2;5;6;5;5;1;5;7;7;7
316;7;7;6;6;6;7;4;5;7;4;4;7;7;7;4;4;1;1;1;5;4;2;2;7;7;7;7
317;5;4;6;3;7;6;4;4;7;6;5;5;5;4;2;7;3;3;5;6;7;2;3;2;3;2;4
318;7;6;6;6;6;6;6;4;4;6;5;4;6;6;5;7;4;4;6;7;7;4;5;6;6;6;6
319;6;5;2;2;3;5;2;6;5;5;5;6;5;5;5;3;1;4;6;7;7;3;2;3;5;5;3
320;7;6;4;5;7;7;5;7;7;5;6;7;6;7;6;7;5;5;7;7;5;4;2;4;7;7;7
321;6;6;4;4;5;5;4;7;7;6;4;5;5;6;4;2;2;2;5;7;7;4;3;6;6;6;6
322;4;2;6;6;4;6;6;7;7;6;6;7;7;7;6;7;4;4;6;7;7;4;4;2;5;4;5
323;5;7;6;3;5;5;2;5;7;3;5;6;7;5;3;6;4;4;3;6;5;3;3;3;7;7;7
324;6;6;6;5;5;6;6;7;7;7;7;6;7;7;5;4;4;5;6;7;7;5;5;6;6;6;6
325;5;5;3;2;3;5;2;5;5;4;4;4;6;6;2;2;2;2;4;6;6;3;3;3;3;3;3
326;4;4;1;2;4;6;4;7;7;5;5;5;6;6;5;3;4;4;4;5;5;5;5;4;4;5;4
327;6;6;3;2;5;5;2;6;6;7;6;6;6;6;5;5;2;4;3;7;7;2;3;6;7;4;4
328;5;3;4;4;6;5;4;6;6;5;6;7;7;7;5;7;4;6;7;7;6;3;4;3;6;5;5
329;4;1;7;6;1;5;2;7;7;1;1;7;7;7;4;5;2;1;6;6;7;1;1;7;1;1;1
330;5;5;4;4;5;5;4;6;6;4;4;7;6;6;4;6;4;4;5;6;7;3;4;1;3;4;4
331;5;4;1;1;2;4;1;6;6;4;4;6;6;6;6;4;4;4;6;7;7;4;4;7;7;7;6
332;6;6;4;4;6;6;4;6;6;6;6;6;6;6;2;2;2;2;4;7;7;2;2;5;6;4;5
333;6;6;2;2;3;3;3;6;7;6;3;6;6;6;1;5;3;3;5;7;5;1;1;2;6;6;5
334;4;4;4;4;5;6;4;6;6;5;6;6;6;6;5;6;3;2;4;6;6;4;4;4;5;4;4
335;7;6;4;4;5;5;4;6;6;7;4;7;7;7;4;6;2;2;7;6;6;4;4;5;5;5;4
336;4;7;2;5;7;7;6;7;7;5;6;7;7;7;5;2;2;2;4;7;7;3;5;7;4;4;7
337;6;6;5;5;6;6;4;5;5;5;6;5;6;6;5;4;4;4;4;6;6;4;4;4;5;4;6
338;6;7;3;5;5;6;6;7;6;6;6;6;6;7;5;6;2;4;2;7;6;3;3;5;7;4;7
339;6;6;4;3;3;5;4;7;7;5;5;6;6;7;5;4;3;3;4;6;6;3;3;1;6;6;6
340;4;5;7;5;6;6;3;7;7;6;5;7;7;6;3;3;1;2;3;7;7;3;5;2;6;6;6
341;6;5;5;6;6;6;6;4;5;5;5;5;5;5;4;5;3;4;4;5;5;4;4;4;4;4;4
342;5;4;5;2;6;5;2;6;7;5;2;5;5;5;2;7;2;1;6;7;7;6;2;3;7;2;5
343;3;4;5;3;6;5;5;7;7;7;4;6;6;6;4;4;4;4;4;6;6;3;6;2;2;4;4
344;7;5;7;5;6;7;6;7;7;6;7;7;7;7;5;6;5;3;6;7;7;5;6;6;6;6;7
345;3;3;1;7;7;7;7;7;7;5;3;7;7;7;1;1;1;1;1;7;7;1;1;1;1;1;1
346;7;7;5;3;6;6;6;7;7;6;7;7;7;7;6;4;1;6;7;5;3;5;4;3;3;3;5
347;6;5;5;3;5;6;5;6;6;5;5;5;6;6;6;4;5;3;4;5;3;3;3;5;6;6;5
348;4;3;5;7;5;5;7;7;6;5;6;7;6;5;3;2;1;1;4;7;7;4;2;2;6;6;6
349;4;7;2;6;6;6;6;6;6;6;6;6;6;6;3;3;2;2;6;5;5;4;2;5;7;7;6
350;7;7;6;5;6;5;5;6;7;6;5;7;6;7;5;4;4;6;6;7;6;4;3;5;4;4;5
351;5;5;5;6;6;7;6;4;5;6;7;7;7;7;4;4;4;4;4;5;7;1;1;1;4;1;1
352;5;5;6;3;6;5;4;6;6;6;6;6;6;7;6;6;3;3;6;5;3;3;2;5;7;1;5
353;5;4;5;3;6;6;4;7;7;5;4;7;7;7;5;5;4;1;1;7;7;1;1;5;6;5;5
354;4;7;5;5;3;7;3;7;7;5;5;7;7;5;1;1;1;7;7;7;7;1;1;1;1;1;1
355;6;6;2;2;5;5;4;7;7;5;4;4;5;5;5;4;4;3;2;5;7;4;2;4;5;5;5
356;7;6;3;5;5;7;6;6;6;5;5;4;5;6;3;3;5;4;5;6;3;4;4;6;5;5;5
357;7;7;5;5;5;7;6;6;7;7;7;7;7;7;7;7;4;5;7;7;7;4;4;3;6;6;7
358;2;5;2;2;4;2;2;2;5;2;2;5;5;5;6;2;2;2;2;5;4;2;2;2;6;4;6
359;5;6;5;2;6;7;3;7;7;4;5;5;7;7;4;2;2;2;2;7;6;3;5;7;7;6;6
360;6;5;7;5;7;7;6;7;7;6;7;6;6;6;5;4;3;3;4;7;7;4;4;7;7;7;7
361;7;7;1;4;6;7;4;7;7;7;7;7;7;7;2;4;2;2;5;5;6;4;3;4;6;6;6
362;7;7;4;4;6;6;6;7;7;7;6;7;6;7;4;6;4;4;6;7;7;4;4;5;5;4;4
363;6;6;7;7;7;7;7;4;4;5;4;6;6;6;1;5;2;1;5;7;7;3;1;6;7;5;6
364;5;4;1;2;2;5;1;5;5;5;4;5;4;5;2;2;2;2;3;7;7;1;1;5;7;4;6
365;6;5;4;4;5;5;5;4;4;4;3;4;4;3;3;6;3;3;4;6;5;3;3;4;6;6;6
